"Date","Endroit","Sentier","lat","long","Duree","Distance"
"21 mai 2018","Parc national de la Jacques Cartier","Les Loups (1er Belvedere)",47.131239,-71.373538,"1h30","4.8 km"
"26 mai 2018","Mont Saint-Anne","La Liberiste",47.075504,-70.906842,"3h39","13.18 km"
